matrix_size,threads_used,seconds
3000,1,29
3000,1,30
3000,1,29
3000,1,32
3000,1,30
3000,1,29
3000,1,29
3000,1,29
3000,1,29
3000,1,30
3000,2,16
3000,2,16
3000,2,16
3000,2,16
3000,2,16
3000,2,16
3000,2,16
3000,2,16
3000,2,16
3000,2,16
3000,4,13
3000,4,13
3000,4,13
3000,4,13
3000,4,13
3000,4,13
3000,4,13
3000,4,13
3000,4,13
3000,4,13
3000,6,15
3000,6,15
3000,6,14
3000,6,15
3000,6,14
3000,6,15
3000,6,15
3000,6,16
3000,6,15
3000,6,14
3000,8,22
3000,8,22
3000,8,21
3000,8,21
3000,8,21
3000,8,21
3000,8,21
3000,8,21
3000,8,21
3000,8,22
3000,10,21
3000,10,20
3000,10,22
3000,10,21
3000,10,21
3000,10,21
3000,10,21
3000,10,21
3000,10,21
3000,10,21
3000,12,20
3000,12,21
3000,12,20
3000,12,20
3000,12,20
3000,12,20
3000,12,19
3000,12,20
3000,12,19
3000,12,20
3000,14,19
3000,14,19
3000,14,18
3000,14,19
3000,14,19
3000,14,18
3000,14,19
3000,14,19
3000,14,19
3000,14,19
3000,16,18
3000,16,17
3000,16,18
3000,16,18
3000,16,17
3000,16,18
3000,16,18
3000,16,17
3000,16,18
3000,16,17
3000,18,17
3000,18,16
3000,18,17
3000,18,17
3000,18,17
3000,18,17
3000,18,17
3000,18,17
3000,18,17
3000,18,17
3000,20,16
3000,20,16
3000,20,16
3000,20,16
3000,20,16
3000,20,16
3000,20,16
3000,20,17
3000,20,16
3000,20,16
3000,22,16
3000,22,16
3000,22,16
3000,22,16
3000,22,16
3000,22,16
3000,22,16
3000,22,16
3000,22,16
3000,22,16
3000,24,16
3000,24,16
3000,24,15
3000,24,15
3000,24,16
3000,24,16
3000,24,15
3000,24,16
3000,24,16
3000,24,15
3000,26,16
3000,26,15
3000,26,15
3000,26,15
3000,26,15
3000,26,15
3000,26,15
3000,26,15
3000,26,15
3000,26,15
3000,28,15
3000,28,15
3000,28,15
3000,28,15
3000,28,15
3000,28,15
3000,28,15
3000,28,15
3000,28,15
3000,28,15
3000,30,15
3000,30,15
3000,30,15
3000,30,15
3000,30,14
3000,30,15
3000,30,15
3000,30,15
3000,30,15
3000,30,15
3000,32,15
3000,32,15
3000,32,14
3000,32,14
3000,32,15
3000,32,14
3000,32,14
3000,32,14
3000,32,14
3000,32,15
4000,1,90
4000,1,91
4000,1,90
4000,1,91
4000,1,90
4000,1,90
4000,1,90
4000,1,90
4000,1,91
4000,1,90
4000,2,47
4000,2,46
4000,2,46
4000,2,46
4000,2,46
4000,2,46
4000,2,47
4000,2,46
4000,2,46
4000,2,46
4000,4,34
4000,4,34
4000,4,34
4000,4,33
4000,4,34
4000,4,35
4000,4,33
4000,4,34
4000,4,33
4000,4,34
4000,6,37
4000,6,36
4000,6,37
4000,6,36
4000,6,36
4000,6,37
4000,6,37
4000,6,38
4000,6,37
4000,6,37
4000,8,58
4000,8,59
4000,8,59
4000,8,58
4000,8,59
4000,8,58
4000,8,58
4000,8,59
4000,8,59
4000,8,59
4000,10,57
4000,10,57
4000,10,56
4000,10,58
4000,10,56
4000,10,57
4000,10,57
4000,10,57
4000,10,58
4000,10,58
4000,12,54
4000,12,55
4000,12,54
4000,12,54
4000,12,53
4000,12,53
4000,12,54
4000,12,54
4000,12,53
4000,12,54
4000,14,49
4000,14,49
4000,14,49
4000,14,49
4000,14,50
