matrix_size,threads_used,seconds
3000,1,48
3000,1,47
3000,1,48
3000,1,48
3000,1,47
3000,1,48
3000,1,48
3000,1,47
3000,1,47
3000,1,47
3000,2,23
3000,2,23
3000,2,23
3000,2,23
3000,2,24
3000,2,23
3000,2,23
3000,2,24
3000,2,23
3000,2,23
3000,4,16
3000,4,17
3000,4,17
3000,4,17
3000,4,16
3000,4,16
3000,4,16
3000,4,16
3000,4,16
3000,4,16
3000,6,13
3000,6,14
3000,6,13
3000,6,14
3000,6,13
3000,6,13
3000,6,13
3000,6,14
3000,6,14
3000,6,13
3000,8,13
3000,8,12
3000,8,12
3000,8,14
3000,8,13
3000,8,13
3000,8,13
3000,8,12
3000,8,13
3000,8,13
3000,10,12
3000,10,13
3000,10,12
3000,10,12
3000,10,12
3000,10,12
3000,10,13
3000,10,12
3000,10,12
3000,10,12
3000,12,12
3000,12,12
3000,12,12
3000,12,12
3000,12,12
3000,12,12
3000,12,12
3000,12,12
3000,12,12
3000,12,11
3000,14,12
3000,14,12
3000,14,11
3000,14,12
3000,14,12
3000,14,12
3000,14,12
3000,14,12
3000,14,12
3000,14,11
3000,16,12
3000,16,12
3000,16,12
3000,16,12
3000,16,12
3000,16,12
3000,16,12
3000,16,12
3000,16,12
3000,16,12
3000,18,12
3000,18,13
3000,18,12
3000,18,12
3000,18,12
3000,18,12
3000,18,12
3000,18,12
3000,18,12
3000,18,12
3000,20,12
3000,20,12
3000,20,12
3000,20,12
3000,20,12
3000,20,12
3000,20,12
3000,20,12
3000,20,12
3000,20,12
3000,22,12
3000,22,12
3000,22,12
3000,22,12
3000,22,13
3000,22,12
3000,22,12
3000,22,12
3000,22,12
3000,22,12
3000,24,12
3000,24,12
3000,24,12
3000,24,12
3000,24,12
3000,24,11
3000,24,11
3000,24,11
3000,24,11
3000,24,12
3000,26,11
3000,26,11
3000,26,11
3000,26,11
3000,26,11
3000,26,11
3000,26,12
3000,26,12
3000,26,11
3000,26,11
3000,28,11
3000,28,11
3000,28,11
3000,28,11
3000,28,11
3000,28,11
3000,28,11
3000,28,11
3000,28,11
3000,28,11
3000,30,11
3000,30,11
3000,30,11
3000,30,11
3000,30,11
3000,30,11
3000,30,11
3000,30,11
3000,30,11
3000,30,11
3000,32,10
3000,32,11
3000,32,11
3000,32,11
3000,32,11
3000,32,11
3000,32,11
3000,32,10
3000,32,11
3000,32,11
4000,1,137
4000,1,137
4000,1,136
4000,1,137
4000,1,137
4000,1,135
4000,1,137
4000,1,137
4000,1,137
4000,1,137
4000,2,65
4000,2,66
4000,2,65
4000,2,64
4000,2,65
4000,2,65
4000,2,65
4000,2,64
4000,2,65
4000,2,65
4000,4,43
4000,4,44
4000,4,45
4000,4,45
4000,4,44
4000,4,44
4000,4,45
4000,4,44
4000,4,44
4000,4,45
4000,6,39
4000,6,36
4000,6,37
4000,6,36
4000,6,39
4000,6,37
4000,6,39
4000,6,36
4000,6,36
4000,6,38
4000,8,33
4000,8,34
4000,8,33
4000,8,33
4000,8,35
4000,8,33
4000,8,33
4000,8,33
4000,8,34
4000,8,34
4000,10,32
4000,10,33
4000,10,32
4000,10,31
4000,10,32
4000,10,32
4000,10,31
4000,10,32
4000,10,32
4000,10,32
4000,12,31
4000,12,32
4000,12,31
4000,12,29
4000,12,31
4000,12,31
4000,12,31
4000,12,31
4000,12,30
4000,12,30
4000,14,30
4000,14,30
4000,14,31
4000,14,30
4000,14,30
4000,14,30
4000,14,30
4000,14,29
4000,14,29
4000,14,31
4000,16,33
4000,16,33
4000,16,33
4000,16,33
4000,16,33
