matrix_size,threads_used,seconds
3000,1,49
3000,1,47
3000,1,48
3000,1,46
3000,1,48
3000,1,48
3000,1,45
3000,1,44
3000,1,47
3000,1,45
3000,2,23
3000,2,23
3000,2,23
3000,2,23
3000,2,26
3000,2,23
3000,2,23
3000,2,23
3000,2,23
3000,2,23
3000,4,15
3000,4,16
3000,4,15
3000,4,16
3000,4,16
3000,4,16
3000,4,15
3000,4,15
3000,4,16
3000,4,16
3000,6,14
3000,6,14
3000,6,13
3000,6,14
3000,6,13
3000,6,14
3000,6,13
3000,6,13
3000,6,14
3000,6,14
3000,8,13
3000,8,13
3000,8,13
3000,8,13
3000,8,13
3000,8,12
3000,8,13
3000,8,13
3000,8,13
3000,8,13
3000,10,12
3000,10,12
3000,10,12
3000,10,12
3000,10,13
3000,10,11
3000,10,12
3000,10,12
3000,10,13
3000,10,11
3000,12,12
3000,12,12
3000,12,12
3000,12,11
3000,12,12
3000,12,12
3000,12,12
3000,12,12
3000,12,11
3000,12,11
3000,14,12
3000,14,12
3000,14,11
3000,14,11
3000,14,11
3000,14,11
3000,14,11
3000,14,11
3000,14,12
3000,14,12
3000,16,12
3000,16,12
3000,16,12
3000,16,12
3000,16,12
3000,16,12
3000,16,12
3000,16,12
3000,16,12
3000,16,12
3000,18,12
3000,18,12
3000,18,12
3000,18,12
3000,18,12
3000,18,12
3000,18,12
3000,18,12
3000,18,13
3000,18,12
3000,20,12
3000,20,12
3000,20,12
3000,20,12
3000,20,12
3000,20,12
3000,20,11
3000,20,12
3000,20,12
3000,20,12
3000,22,12
3000,22,12
3000,22,12
3000,22,12
3000,22,12
3000,22,12
3000,22,12
3000,22,12
3000,22,12
3000,22,12
3000,24,12
3000,24,12
3000,24,12
3000,24,11
3000,24,11
3000,24,12
3000,24,11
3000,24,12
3000,24,12
3000,24,12
3000,26,11
3000,26,11
3000,26,12
3000,26,12
3000,26,12
3000,26,11
3000,26,11
3000,26,11
3000,26,12
3000,26,11
3000,28,11
3000,28,11
3000,28,11
3000,28,11
3000,28,11
3000,28,11
3000,28,11
3000,28,11
3000,28,11
3000,28,11
3000,30,11
3000,30,11
3000,30,11
3000,30,11
3000,30,11
3000,30,12
3000,30,11
3000,30,11
3000,30,12
3000,30,11
3000,32,11
3000,32,11
3000,32,11
3000,32,11
3000,32,11
3000,32,11
3000,32,11
3000,32,11
3000,32,11
3000,32,11
4000,1,136
4000,1,137
4000,1,135
4000,1,126
4000,1,137
4000,1,136
4000,1,136
4000,1,137
4000,1,136
4000,1,136
4000,2,63
4000,2,64
4000,2,63
4000,2,64
4000,2,63
4000,2,63
4000,2,63
4000,2,65
4000,2,64
4000,2,63
4000,4,44
4000,4,43
4000,4,45
4000,4,44
4000,4,44
4000,4,44
4000,4,42
4000,4,43
4000,4,44
4000,4,43
4000,6,35
4000,6,38
4000,6,37
4000,6,36
4000,6,36
4000,6,37
4000,6,38
4000,6,38
4000,6,37
4000,6,38
4000,8,33
4000,8,33
4000,8,34
4000,8,35
4000,8,35
4000,8,32
4000,8,33
4000,8,33
4000,8,34
4000,8,35
4000,10,32
4000,10,30
4000,10,33
4000,10,32
4000,10,31
4000,10,32
4000,10,33
4000,10,31
4000,10,30
4000,10,33
4000,12,31
4000,12,31
4000,12,29
4000,12,29
4000,12,29
4000,12,29
4000,12,30
4000,12,29
4000,12,29
4000,12,31
4000,14,32
4000,14,32
4000,14,31
4000,14,32
4000,14,32
4000,14,31
4000,14,31
4000,14,31
4000,14,32
4000,14,32
4000,16,33
4000,16,33
4000,16,33
4000,16,33
4000,16,33
4000,16,33
4000,16,33
4000,16,33
4000,16,33
4000,16,33
4000,18,33
4000,18,31
4000,18,31
4000,18,31
4000,18,31
4000,18,31
4000,18,31
4000,18,31
4000,18,31
4000,18,31
4000,20,30
4000,20,29
4000,20,30
4000,20,30
4000,20,30
4000,20,30
4000,20,30
4000,20,30
4000,20,30
4000,20,30
4000,22,30
4000,22,30
4000,22,30
4000,22,30
4000,22,30
4000,22,30
4000,22,30
4000,22,30
4000,22,31
4000,22,30
4000,24,30
4000,24,30
4000,24,30
4000,24,30
4000,24,30
4000,24,30
4000,24,30
4000,24,30
4000,24,30
4000,24,30
4000,26,29
4000,26,29
4000,26,29
4000,26,29
4000,26,30
4000,26,29
4000,26,29
4000,26,29
4000,26,29
4000,26,30
4000,28,29
4000,28,29
4000,28,29
4000,28,29
4000,28,29
4000,28,29
4000,28,28
4000,28,30
4000,28,29
4000,28,30
4000,30,30
4000,30,30
4000,30,30
4000,30,30
4000,30,30
4000,30,30
4000,30,30
4000,30,30
4000,30,30
4000,30,29
4000,32,30
4000,32,30
4000,32,30
4000,32,30
4000,32,30
4000,32,31
4000,32,31
4000,32,30
4000,32,31
4000,32,30
5000,1,339
5000,1,344
5000,1,343
5000,1,339
5000,1,319
5000,1,317
5000,1,318
5000,1,337
5000,1,343
5000,1,341
5000,2,159
5000,2,159
5000,2,159
5000,2,159
5000,2,162
5000,2,158
5000,2,165
5000,2,160
5000,2,159
5000,2,160
5000,4,107
5000,4,108
5000,4,105
5000,4,110
5000,4,108
5000,4,105
5000,4,105
5000,4,108
5000,4,109
5000,4,106
5000,6,88
5000,6,89
5000,6,88
5000,6,88
5000,6,89
5000,6,86
5000,6,89
5000,6,83
5000,6,88
5000,6,84
5000,8,75
5000,8,76
5000,8,76
5000,8,77
5000,8,73
5000,8,74
5000,8,75
5000,8,75
5000,8,75
5000,8,75
5000,10,69
5000,10,69
5000,10,69
5000,10,68
5000,10,70
5000,10,69
5000,10,70
5000,10,69
5000,10,70
5000,10,68
5000,12,63
5000,12,65
5000,12,61
5000,12,65
5000,12,63
5000,12,62
5000,12,64
5000,12,65
5000,12,63
5000,12,65
5000,14,69
5000,14,69
5000,14,68
5000,14,69
5000,14,68
5000,14,68
5000,14,69
5000,14,68
5000,14,69
5000,14,69
5000,16,69
5000,16,69
5000,16,69
5000,16,69
5000,16,70
5000,16,68
5000,16,70
5000,16,69
5000,16,68
5000,16,69
5000,18,66
5000,18,63
5000,18,66
5000,18,66
5000,18,67
5000,18,64
5000,18,67
5000,18,64
5000,18,64
5000,18,64
5000,20,62
5000,20,63
5000,20,61
5000,20,62
5000,20,60
5000,20,62
5000,20,62
5000,20,61
5000,20,61
5000,20,63
5000,22,64
5000,22,62
5000,22,63
5000,22,62
5000,22,63
5000,22,63
5000,22,62
5000,22,61
5000,22,61
5000,22,63
5000,24,62
5000,24,64
5000,24,62
5000,24,62
5000,24,61
5000,24,62
5000,24,61
5000,24,62
5000,24,62
5000,24,64
5000,26,61
5000,26,62
5000,26,60
5000,26,61
5000,26,62
5000,26,61
5000,26,60
5000,26,62
5000,26,61
5000,26,61
5000,28,60
5000,28,59
5000,28,60
5000,28,60
5000,28,60
5000,28,60
5000,28,61
5000,28,61
5000,28,61
5000,28,61
5000,30,62
5000,30,61
5000,30,61
5000,30,61
5000,30,61
5000,30,61
5000,30,61
5000,30,61
5000,30,63
5000,30,60
5000,32,61
5000,32,63
5000,32,64
5000,32,61
5000,32,63
5000,32,63
5000,32,63
5000,32,62
5000,32,63
5000,32,61
6000,1,549
6000,1,528
6000,1,564
6000,1,570
6000,1,556
6000,1,570
6000,1,562
6000,1,555
6000,1,571
6000,1,560
6000,2,258
6000,2,260
6000,2,265
6000,2,259
6000,2,263
6000,2,268
6000,2,265
6000,2,259
6000,2,261
6000,2,262
6000,4,181
6000,4,171
6000,4,171
6000,4,182
6000,4,183
6000,4,180
6000,4,183
6000,4,173
6000,4,173
6000,4,180
6000,6,149
6000,6,150
6000,6,144
6000,6,141
6000,6,144
6000,6,144
6000,6,150
6000,6,157
6000,6,148
6000,6,155
6000,8,124
6000,8,129
6000,8,125
6000,8,126
6000,8,127
6000,8,133
6000,8,131
6000,8,128
6000,8,127
6000,8,128
6000,10,122
6000,10,121
6000,10,120
6000,10,121
6000,10,124
6000,10,124
6000,10,121
6000,10,122
6000,10,123
6000,10,124
6000,12,130
6000,12,144
6000,12,142
6000,12,142
6000,12,126
6000,12,122
6000,12,112
6000,12,118
6000,12,117
6000,12,120
6000,14,123
6000,14,125
6000,14,124
6000,14,123
6000,14,124
6000,14,124
6000,14,122
6000,14,124
6000,14,123
6000,14,123
6000,16,124
6000,16,124
6000,16,125
6000,16,122
6000,16,125
6000,16,125
6000,16,126
6000,16,125
6000,16,123
6000,16,123
6000,18,118
6000,18,118
6000,18,120
6000,18,114
6000,18,115
6000,18,114
6000,18,116
6000,18,119
6000,18,117
6000,18,114
6000,20,110
6000,20,113
6000,20,110
6000,20,111
6000,20,112
6000,20,111
6000,20,113
6000,20,111
6000,20,111
6000,20,112
6000,22,115
6000,22,113
6000,22,113
6000,22,113
6000,22,113
6000,22,114
6000,22,112
6000,22,111
6000,22,112
6000,22,112
6000,24,112
6000,24,113
6000,24,115
6000,24,112
6000,24,113
6000,24,113
6000,24,116
6000,24,111
6000,24,114
6000,24,115
6000,26,111
6000,26,113
6000,26,113
6000,26,115
