matrix_size,threads_used,seconds
3000,1,14
3000,1,14
3000,1,14
3000,1,14
3000,1,14
3000,1,14
3000,1,15
3000,1,14
3000,1,14
3000,1,14
3000,2,8
3000,2,8
3000,2,8
3000,2,8
3000,2,8
3000,2,7
3000,2,8
3000,2,8
3000,2,8
3000,2,9
3000,4,5
3000,4,5
3000,4,5
3000,4,6
3000,4,5
3000,4,5
3000,4,5
3000,4,5
3000,4,5
3000,4,5
3000,6,4
3000,6,4
3000,6,3
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,5
3000,8,3
3000,8,3
3000,8,4
3000,8,3
3000,8,3
3000,8,3
3000,8,3
3000,8,3
3000,8,3
3000,8,3
3000,10,5
3000,10,5
3000,10,6
3000,10,5
3000,10,5
3000,10,5
3000,10,5
3000,10,5
3000,10,5
3000,10,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,14,4
3000,14,4
3000,14,4
3000,14,4
3000,14,4
3000,14,5
3000,14,4
3000,14,4
3000,14,4
3000,14,4
3000,16,4
3000,16,4
3000,16,4
3000,16,4
3000,16,4
3000,16,4
3000,16,4
3000,16,4
3000,16,4
3000,16,4
3000,18,4
3000,18,4
3000,18,4
3000,18,4
3000,18,4
3000,18,4
3000,18,5
3000,18,4
3000,18,4
3000,18,4
3000,20,4
3000,20,4
3000,20,4
3000,20,4
3000,20,4
3000,20,4
3000,20,4
3000,20,4
3000,20,4
3000,20,4
3000,22,4
3000,22,3
3000,22,4
3000,22,4
3000,22,4
3000,22,4
3000,22,4
3000,22,4
3000,22,5
3000,22,4
3000,24,4
3000,24,4
3000,24,4
3000,24,4
3000,24,4
3000,24,4
3000,24,4
3000,24,4
3000,24,4
3000,24,4
3000,26,4
3000,26,4
3000,26,4
3000,26,4
3000,26,4
3000,26,4
3000,26,4
3000,26,4
3000,26,4
3000,26,4
3000,28,4
3000,28,5
3000,28,4
3000,28,4
3000,28,4
3000,28,4
3000,28,4
3000,28,4
3000,28,4
3000,28,4
3000,30,4
3000,30,4
3000,30,4
3000,30,4
3000,30,4
3000,30,4
3000,30,4
3000,30,4
3000,30,4
3000,30,4
3000,32,4
3000,32,4
3000,32,4
3000,32,4
3000,32,4
3000,32,4
3000,32,4
3000,32,4
3000,32,4
3000,32,4
4000,1,51
4000,1,53
4000,1,52
4000,1,53
4000,1,52
4000,1,53
4000,1,53
4000,1,52
4000,1,52
4000,1,53
4000,2,28
4000,2,27
4000,2,28
4000,2,27
4000,2,27
4000,2,27
4000,2,28
4000,2,27
4000,2,27
4000,2,29
4000,4,18
4000,4,17
4000,4,16
4000,4,17
4000,4,16
4000,4,17
4000,4,18
4000,4,17
4000,4,17
4000,4,16
4000,6,12
4000,6,12
4000,6,12
4000,6,12
4000,6,12
4000,6,13
4000,6,13
4000,6,12
4000,6,12
4000,6,12
4000,8,11
4000,8,10
4000,8,11
4000,8,10
4000,8,10
4000,8,11
4000,8,11
4000,8,11
4000,8,11
4000,8,10
4000,10,16
4000,10,16
4000,10,15
4000,10,15
4000,10,16
4000,10,15
4000,10,16
4000,10,16
4000,10,15
4000,10,15
4000,12,14
4000,12,14
4000,12,14
4000,12,13
4000,12,13
4000,12,14
4000,12,13
4000,12,13
4000,12,14
4000,12,14
4000,14,12
4000,14,12
4000,14,12
4000,14,12
4000,14,12
4000,14,12
4000,14,13
4000,14,12
4000,14,12
4000,14,12
4000,16,11
4000,16,11
4000,16,11
4000,16,11
4000,16,10
4000,16,11
4000,16,11
4000,16,12
4000,16,11
4000,16,11
4000,18,12
4000,18,12
4000,18,13
4000,18,12
4000,18,12
4000,18,12
4000,18,12
4000,18,12
4000,18,12
4000,18,13
4000,20,12
4000,20,12
4000,20,12
4000,20,12
4000,20,12
4000,20,12
4000,20,12
4000,20,11
4000,20,12
4000,20,13
4000,22,11
4000,22,12
4000,22,12
4000,22,12
4000,22,12
4000,22,12
4000,22,12
4000,22,12
4000,22,11
4000,22,12
4000,24,12
4000,24,11
4000,24,12
4000,24,12
4000,24,13
4000,24,12
4000,24,12
4000,24,12
4000,24,12
4000,24,11
4000,26,12
4000,26,12
4000,26,12
4000,26,12
4000,26,12
4000,26,13
4000,26,12
4000,26,12
4000,26,12
4000,26,12
4000,28,12
4000,28,12
4000,28,12
4000,28,11
4000,28,12
4000,28,12
4000,28,11
4000,28,11
4000,28,12
4000,28,12
4000,30,11
4000,30,11
4000,30,11
4000,30,11
4000,30,11
4000,30,11
4000,30,11
4000,30,12
4000,30,11
4000,30,11
4000,32,10
4000,32,10
4000,32,11
4000,32,11
4000,32,10
4000,32,10
4000,32,11
4000,32,11
4000,32,10
4000,32,11
5000,1,117
5000,1,117
5000,1,116
5000,1,117
5000,1,116
5000,1,120
5000,1,121
5000,1,119
5000,1,121
5000,1,119
5000,2,58
5000,2,60
