matrix_size,threads_used,seconds
3000,1,17
3000,1,17
3000,1,17
3000,1,17
3000,1,17
3000,1,16
3000,1,19
3000,1,19
3000,1,20
3000,1,19
3000,2,9
3000,2,9
3000,2,9
3000,2,9
3000,2,9
3000,2,9
3000,2,9
3000,2,9
3000,2,9
3000,2,9
3000,4,6
3000,4,6
3000,4,5
3000,4,5
3000,4,6
3000,4,6
3000,4,6
3000,4,6
3000,4,5
3000,4,6
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,6,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,8,4
3000,10,6
3000,10,6
3000,10,6
3000,10,6
3000,10,6
3000,10,6
3000,10,6
3000,10,6
3000,10,6
3000,10,6
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,12,5
3000,14,5
3000,14,5
3000,14,5
3000,14,5
3000,14,5
3000,14,5
3000,14,5
3000,14,5
3000,14,5
3000,14,5
3000,16,4
3000,16,4
3000,16,4
3000,16,4
3000,16,5
3000,16,5
3000,16,4
3000,16,4
3000,16,4
3000,16,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,18,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,20,5
3000,22,5
3000,22,5
3000,22,5
3000,22,5
3000,22,5
3000,22,5
3000,22,5
3000,22,5
3000,22,5
3000,22,4
3000,24,4
3000,24,4
3000,24,4
3000,24,5
3000,24,4
3000,24,5
3000,24,5
3000,24,4
3000,24,4
3000,24,4
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,26,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,28,5
3000,30,4
3000,30,5
3000,30,5
3000,30,4
3000,30,5
3000,30,4
3000,30,5
3000,30,5
3000,30,5
3000,30,5
3000,32,4
3000,32,4
3000,32,4
3000,32,4
3000,32,4
3000,32,5
3000,32,4
3000,32,4
3000,32,4
3000,32,4
4000,1,58
4000,1,62
4000,1,60
4000,1,62
4000,1,62
4000,1,63
4000,1,69
4000,1,68
4000,1,67
4000,1,66
4000,2,33
4000,2,32
4000,2,31
4000,2,31
4000,2,32
4000,2,31
4000,2,31
4000,2,31
4000,2,31
4000,2,31
4000,4,18
4000,4,18
4000,4,19
4000,4,18
4000,4,18
4000,4,18
4000,4,18
4000,4,18
4000,4,18
4000,4,19
4000,6,13
4000,6,14
4000,6,19
4000,6,22
4000,6,21
4000,6,21
4000,6,22
4000,6,21
4000,6,22
4000,6,23
4000,8,17
4000,8,17
